	FILENAME	TRACK TITLE FOR REPORTING	COMPOSER/S 		PUBLISHER	DESCRIPTION	BPM	SUGGESTED USE	keywords
SERIES 3	MKR S03 Build to celebrate 7	My Kitchen Rules Background (Series 3)	Jay stewart 		N/A	positve building rock track		positive build	
SERIES 3	MKR S03 Build to celebrate 8	My Kitchen Rules Background (Series 3)	Jay stewart 		N/A	positive building piano track		positive build	
SERIES 3	MKR S03 Build to celebrate 9	My Kitchen Rules Background (Series 3)	Jay stewart 		N/A	positve building rock track		positive build	
SERIES 3	MKR S03 Build to celebrate 10	My Kitchen Rules Background (Series 3)	Jay stewart 		N/A	positve building rock track		positive build	
SERIES 3	MKR S03 Build to celebrate 11	My Kitchen Rules Background (Series 3)	Jay stewart 		N/A	positive building piano track		positive build	
SERIES 3	MKR S03 Celebrate 1	My Kitchen Rules Background (Series 3)	Brydon Stace		N/A	Cold Play style of uplifting track….breakdown in middle		Success	
SERIES 3	MKR S03 Cooking beat 11	My Kitchen Rules Background (Series 3)	Jay stewart 		N/A	fast drums and marc string riffs plus pots and pan percussion		fast cooking scenes	
SERIES 3	MKR S03 Cooking beat 12	My Kitchen Rules Background (Series 3)	Jay stewart 		N/A	fast rhythm and string riffs		fast cooking scenes	
SERIES 3	MKR S03 Cooking beat 13	My Kitchen Rules Background (Series 3)	Jay stewart 		N/A	medium rhythm with synth riffs and low bass		medium cooking scenes	
SERIES 3	MKR S03 Cooking beat 14	My Kitchen Rules Background (Series 3)	Jay stewart 		N/A	fast strings and syncopated drums		fast cooking scenes	
SERIES 3	MKR S03 Cooking beat 15	My Kitchen Rules Background (Series 3)	Jay stewart 		N/A	fast strings and syncopated drums		fast cooking scenes	
SERIES 3	MKR S03 Cooking beat 16	My Kitchen Rules Background (Series 3)	Jay stewart 		N/A	fast mallet riff with pizz strings and pots and pan percussuin		fast light cooking scenes	
SERIES 3	MKR S03 Cooking beat 17	My Kitchen Rules Background (Series 3)	Jay stewart 		N/A	fast pizz strings and pots and pans percussion		fast light cooking scenes	
SERIES 3	MKR S03 Cooking beat 18	My Kitchen Rules Background (Series 3)	Jay stewart 		N/A	fast pizz and marc strings and pots and pan perc		fast light cooking scenes	
SERIES 3	MKR S03 Cooking Beat 19 Pop	My Kitchen Rules Background (Series 3)	Jay stewart 		N/A	synth pop track		electro cooking beat	
SERIES 3	MKR S03 Cooking Beat 20 Pop	My Kitchen Rules Background (Series 3)	Jay stewart 		N/A	synth pop track		electro cooking beat	
SERIES 3	MKR S03 Cooking Beat 21 Pop	My Kitchen Rules Background (Series 3)	Jay stewart 		N/A	synth pop track		electro cooking beat	
SERIES 3	MKR S03 Country roads	My Kitchen Rules Background (Series 3)	Jay stewart 		N/A	up beat country with driving acoustic gtrs		up beat country track	
SERIES 3	MKR S03 Drama Tease 1	My Kitchen Rules Background (Series 3)	Jay stewart 		N/A	Strong String drama with percussive accents throughout		Tease	
SERIES 3	MKR S03 Drama Tease 2	My Kitchen Rules Background (Series 3)	Jay stewart 		N/A	Pulsating Drama orchestra with quiet middle and strong stab end		Tease	
SERIES 3	MKR S03 Drama Tease 3	My Kitchen Rules Background (Series 3)	Brydon Stace		N/A	6/8 Fast orchestral drama  Chimes and pulsation drums  Big End		Tease	
SERIES 3	MKR S03 Drama Tease 4	My Kitchen Rules Background (Series 3)	Jay stewart 		N/A	Punctuated Orchestral drama with many moods and changes		Tease	
SERIES 3	MKR S03 Drama Tease 5	My Kitchen Rules Background (Series 3)	Brydon Stace		N/A	Syncopated Orchestral Drama that builds with driving drum kit pulse end		Tease	
SERIES 3	MKR S03 Drama Tease 6	My Kitchen Rules Background (Series 3)	Brydon Stace		N/A	Huge Battle Cry orchestra with 2 soft middle sections		Tease	
SERIES 3	MKR S03 Drama Tease 7	My Kitchen Rules Background (Series 3)	Jay stewart 		N/A	Punctuated orchestra drama		Tease	
SERIES 3	MKR S03 Drama Tease 8	My Kitchen Rules Background (Series 3)	Jay stewart 		N/A	Hans Zimmer style orchestra with repeated string line that builds		Tease	
SERIES 3	MKR S03 Drama Tease 9	My Kitchen Rules Background (Series 3)	Brydon Stace		N/A	strong marcato orchestral build		building orchestral drama	
SERIES 3	MKR S03 Drama Tease 10	My Kitchen Rules Background (Series 3)	Brydon Stace		N/A	strong marcato orchestral build		building orchestral drama	
SERIES 3	MKR S03 Drama Tease 11	My Kitchen Rules Background (Series 3)	Brydon Stace		N/A	strong fast marcato orchestral build		building orchestral drama	
SERIES 3	MKR S03 Drama Tease 12	My Kitchen Rules Background (Series 3)	Brydon Stace		N/A	strong marcato orchestral build		building orchestral drama	
SERIES 3	MKR S03 Drama tease 13	My Kitchen Rules Background (Series 3)	Jay stewart 		N/A	pulsing strings and building piano with tymp acents		building orchestral drama	
SERIES 3	MKR S03 Drama tease 14	My Kitchen Rules Background (Series 3)	Jay stewart 		N/A	strong low string motif with tymp acents - building to climax		building orchestral drama	
SERIES 3	MKR S03 Drama tease 15	My Kitchen Rules Background (Series 3)	Jay stewart 		N/A	piano riff and lo accents strings…building to climax		drama orchestral builds	
SERIES 3	MKR S03 Drama tease 16	My Kitchen Rules Background (Series 3)	Jay stewart 		N/A	harp riffs and lo accent strings….building to climax		drama orchestral builds	
SERIES 3	MKR S03 Drama tease 17	My Kitchen Rules Background (Series 3)	Brydon Stace		N/A	medium string pulses and orchestral builds		drama orchestral builds	
SERIES 3	MKR S03 Drama tease 18	My Kitchen Rules Background (Series 3)	Brydon Stace		N/A	marc string riffs with piano melody		drama orchestral builds	
SERIES 3	MKR S03 Drama tease 19	My Kitchen Rules Background (Series 3)	Brydon Stace		N/A	fast marcarto strings and building orchestra		drama orchestral builds	
SERIES 3	MKR S03 Elimination Proud 1	My Kitchen Rules Background (Series 3)	Jay stewart 		N/A	Warm piano and orchestra		reflective eliminated contestant	
SERIES 3	MKR S03 Elimination Proud 2	My Kitchen Rules Background (Series 3)	Jay stewart 		N/A	Warm piano and pads		reflective eliminated contestant	
SERIES 3	MKR S03 For Evermore	My Kitchen Rules Background (Series 3)	Jay stewart 		N/A	positive buiding rock track in the style of Evermore		positive build	
SERIES 3	MKR S03 frantic kitchen 20	My Kitchen Rules Background (Series 3)	Jay stewart 		N/A	Modern synth Groove. Up tempo and tech		Kitchen/Shopping action	
SERIES 3	MKR S03 Frantic Kitchen 21	My Kitchen Rules Background (Series 3)	Brydon Stace		N/A	Pots and Pan percussion with single note Gtr riffs		medium tension - time passing	
SERIES 3	MKR S03 Frantic Kitchen 22	My Kitchen Rules Background (Series 3)	Jay stewart 		N/A	Fast synth and busy drums		frantic action	
SERIES 3	MKR S03 Frantic Kitchen 23	My Kitchen Rules Background (Series 3)	Jay stewart 		N/A	fast drums and percussion		kitchen mayhem	
SERIES 3	MKR S03 Fresh Country Parade	My Kitchen Rules Background (Series 3)	Jay stewart 		N/A	up beat positive earthy guitars and rhythm		up beat country track	
SERIES 3	MKR S03 GaGa	My Kitchen Rules Background (Series 3)	Jay stewart 		N/A	pop track in the style of Gaga		positive build	
SERIES 3	MKR S03 Good work	My Kitchen Rules Background (Series 3)	Brydon Stace		N/A	Warm positive chords with light percussuion		Judge gives good comments	
SERIES 3	MKR S03 Grand Final closer	My Kitchen Rules Background (Series 3)	Jay stewart 		N/A	building pop track			
SERIES 3	MKR S03 Greek 1	My Kitchen Rules Background (Series 3)	Brydon Stace		N/A	Contempoary Drums and percussion with Bazouki melody. Speeds up at end		Greek Cooking	
SERIES 3	MKR S03 Greek 2	My Kitchen Rules Background (Series 3)	Brydon Stace		N/A	Traditional Drums and percussion with Bazouki melody.		Greek cooking	
SERIES 3	MKR S03 Judge Food 1	My Kitchen Rules Background (Series 3)	Jay stewart 		N/A	Light Harp motive with Hi string suspense and lo string punctuation		Judges Tasting food	
SERIES 3	MKR S03 Judge Food 2	My Kitchen Rules Background (Series 3)	Jay stewart 		N/A	suspenseful reverb GTR with time passing percussion		Judges Tasting food	
SERIES 3	MKR S03 Judge Food 3	My Kitchen Rules Background (Series 3)	Jay stewart 		N/A	Lo Piano chime hits with hi piano motive, pulsing strings  Build thru out		Judges Tasting food	
SERIES 3	MKR S03 Judge Food 4	My Kitchen Rules Background (Series 3)	Brydon Stace		N/A	Fasting piano tension motive with low drone and heartbeat pulse		Judges tasting food	
SERIES 3	MKR S03 Judge Food 5	My Kitchen Rules Background (Series 3)	Jay stewart 		N/A	Tense plucked strings with Lo Piano chimes. Tense percussion		Judges Tasting food	
SERIES 3	MKR S03 Judge food 6	My Kitchen Rules Background (Series 3)	Brydon Stace		N/A	Light percussion with string swells and accents		Time tension light	
SERIES 3	MKR S03 Judge Food 7	My Kitchen Rules Background (Series 3)	Brydon Stace		N/A	Clock ticking keyboard and lo moving pads with string accents		Judge food tension	
SERIES 3	MKR S03 Judges decision is final	My Kitchen Rules Background (Series 3)	Jay stewart 		N/A	lo piano hits with menacing strings and R&B groove		the decision has been made	
SERIES 3	MKR S03 Kitchen beat 5	My Kitchen Rules Background (Series 3)	Jay stewart 		N/A	Bright percussive only tracks that feature kitchen utensils for sounds		Cooking	
SERIES 3	MKR S03 Kitchen beat 6	My Kitchen Rules Background (Series 3)	Jay stewart 		N/A	As above		Cooking	
SERIES 3	MKR S03 Kitchen beat 7	My Kitchen Rules Background (Series 3)	Jay stewart 		N/A	As above		Cooking	
SERIES 3	MKR S03 Kitchen Beat 8	My Kitchen Rules Background (Series 3)	Jay stewart 		N/A	Busy Drums and floating piano lines. Slightly hyper modern groove		Time elapses in Kitchen action	
SERIES 3	MKR S03 Light anticipation 1	My Kitchen Rules Background (Series 3)	Jay stewart 		N/A	smooth strings and marimba pulses		light anticipation	
SERIES 3	MKR S03 Light Fun 7	My Kitchen Rules Background (Series 3)	Jay stewart 		N/A	Pizz Lo strings with mallet instruments and triangles		Humour Light Fun	
SERIES 3	MKR S03 Light Fun 8	My Kitchen Rules Background (Series 3)	Jay stewart 		N/A	Faster Pizz strings with mallet accents and light percussion		Humour Light Fun	
SERIES 3	MKR S03 Light Fun 9	My Kitchen Rules Background (Series 3)	Jay stewart 		N/A	Vibes and Pizz strings climbing and lumbering along		Humour Light Fun	
SERIES 3	MKR S03 Light Fun 10	My Kitchen Rules Background (Series 3)	Jay stewart 		N/A	Groovy Marimba and Congas  Busy Percussion and organ		Light Fun	
SERIES 3	MKR S03 Light fun 11	My Kitchen Rules Background (Series 3)	Jay stewart 		N/A	funky groove with quirky gtr and marimba riff		fun but not amusing	
SERIES 3	MKR S03 Light Fun 12	My Kitchen Rules Background (Series 3)	Jay stewart 		N/A	uke and light rege beat		light fun upbeat	
SERIES 3	MKR S03 Light Fun 13	My Kitchen Rules Background (Series 3)	Jay stewart 		N/A	rege beat with smooth electric gtr		light lazy fun	
SERIES 3	MKR S03 Light Fun 14	My Kitchen Rules Background (Series 3)	Brydon Stace		N/A	mallets and light percussion with pizz strings		light medium fun	
SERIES 3	MKR S03 Light Fun 15	My Kitchen Rules Background (Series 3)	Brydon Stace		N/A	fast Jazz bass and mallets riffs plus fast percussion		light fast fun	
SERIES 3	MKR S03 Neg to Pos 1	My Kitchen Rules Background (Series 3)	Jay stewart 		N/A	Negitive or anxious mood turns bright and positive		Judging unexpectably good	
SERIES 3	MKR S03 Neg to Pos 2	My Kitchen Rules Background (Series 3)	Jay stewart 		N/A	as above		as above	
SERIES 3	MKR S03 Neg to Pos 3	My Kitchen Rules Background (Series 3)	Jay stewart 		N/A	as above		as above	
SERIES 3	MKR S03 Neg to Pos 4	My Kitchen Rules Background (Series 3)	Brydon Stace		N/A	anticipation bells and spasmodic percussion turns positive		tense turn positive and upbeat	
SERIES 3	MKR S03 Neg to Pos 5	My Kitchen Rules Background (Series 3)	Brydon Stace		N/A	gtr pulse and drones turns positive		tense turn positive and upbeat	
SERIES 3	MKR S03 Neg to Pos 6	My Kitchen Rules Background (Series 3)	Brydon Stace		N/A	low string drone into positive string rhythm		negative sound turns optimistic	
SERIES 3	MKR S03 Neutral Cooking beat 1 HQ	My Kitchen Rules Background (Series 3)	Brydon Stace		N/A	fast drums and electro pulses		cooking action	
SERIES 3	MKR S03 Neutral Cooking beat 2 HQ	My Kitchen Rules Background (Series 3)	Brydon Stace		N/A	fast Jazz bass and drums with floaty gtr and piano		medium cooking action	
SERIES 3	MKR S03 Pop 1 Breakdown	My Kitchen Rules Background (Series 3)	Jay stewart 		N/A	Pop track in the style of Maroon 5 - Jagger		Instant Restaurant	
SERIES 3	MKR S03 Pop 2 Breakdown	My Kitchen Rules Background (Series 3)	Brydon Stace		N/A	Pop/Funk track in the style of Funky Music		Instant Restaurant	
SERIES 3	MKR S03 Pop 3	My Kitchen Rules Background (Series 3)	Jay stewart 		N/A	Indie Pop track in style of The Prodogy		Instant Restaurant	
SERIES 3	MKR S03 Pop 4	My Kitchen Rules Background (Series 3)	Brydon Stace		N/A	Indie Pop track in the style of Prodogy		Instant Restaurant	
SERIES 3	MKR S03 Pop 5	My Kitchen Rules Background (Series 3)	Jay stewart 		N/A	Pop/Funk track in style of Stevie Wonder -		Instant Restaurant	
SERIES 3	MKR S03 Pop 6	My Kitchen Rules Background (Series 3)	Brydon Stace		N/A	Rock track in the style of Jet - Loud and distorted		Instant Restaurant	
SERIES 3	MKR S03 Pos to neg 1	My Kitchen Rules Background (Series 3)	Jay stewart 		N/A	Positive pulse turns dark and moody half way		Judging turns sour	
SERIES 3	MKR S03 Pos to Neg 2	My Kitchen Rules Background (Series 3)	Jay stewart 		N/A	as above		As above	
SERIES 3	MKR S03 Pos to Neg 3	My Kitchen Rules Background (Series 3)	Jay stewart 		N/A	as above		as above	
SERIES 3	MKR S03 Pos to Neg 4	My Kitchen Rules Background (Series 3)	Brydon Stace		N/A	Warm pads and piano melody turns dramatic		positive sound turns dire	
SERIES 3	MKR S03 Pos to Neg 5	My Kitchen Rules Background (Series 3)	Brydon Stace		N/A	Positive pulsing keyboards turns dark		positive sound turns dire	
SERIES 3	MKR S03 Pos to neg 6	My Kitchen Rules Background (Series 3)	Brydon Stace		N/A	warm strings and gtrs turns dark		positive sound turns dire	
SERIES 3	MKR S03 Rain Forest	My Kitchen Rules Background (Series 3)	Jay stewart 		N/A	smooth nu age pads and harp		nu age relaxation sound	
SERIES 3	MKR S03 Redemtion 1	My Kitchen Rules Background (Series 3)	Brydon Stace		N/A	Delayed GTRs and warm vocal textures with a positive bent		A positive result	
SERIES 3	MKR S03 Redemtion 2	My Kitchen Rules Background (Series 3)	Brydon Stace		N/A	Anticipation GTRs into full relief		A positive result	
SERIES 3	MKR S03 Redemtion 3	My Kitchen Rules Background (Series 3)	Brydon Stace		N/A	Anticipation GTrs into full relief		A positive result	
SERIES 3	MKR S03 reflect 6	My Kitchen Rules Background (Series 3)	Jay stewart 		N/A	haunting reflective piano		reflective mood	
SERIES 3	MKR S03 reflect 7	My Kitchen Rules Background (Series 3)	Jay stewart 		N/A	atmos strings and moody piano		reflective mood	
SERIES 3	MKR S03 Shopping 1	My Kitchen Rules Background (Series 3)	Jay stewart 		N/A	Busy Drums and Bass with funky keys - Searching around for ingredients		Shopping	
SERIES 3	MKR S03 Shopping 2	My Kitchen Rules Background (Series 3)	Jay stewart 		N/A	Bright NRG with sustain tension.  "On a Mission"		Shopping	
SERIES 3	MKR S03 Shopping 3	My Kitchen Rules Background (Series 3)	Jay stewart 		N/A	Frantic Drums and manic percussion.  "Frazzled and out of control"		Shopping	
SERIES 3	MKR S03 Shopping 4	My Kitchen Rules Background (Series 3)	Jay stewart 		N/A	Medium groove - General shopping action		Shopping	
SERIES 3	MKR S03 Shopping 5	My Kitchen Rules Background (Series 3)	Jay stewart 		N/A	Modern synth groove. Up tempo & tech		Kitchen/Shopping action	
SERIES 3	MKR S03 Shopping FRANTIC 3	My Kitchen Rules Background (Series 3)	Jay stewart 		N/A				
SERIES 3	MKR S03 supertease King kong	My Kitchen Rules Background (Series 3)	Jay stewart 		N/A	drama orchestra in the style of King Kong Hollywood			
SERIES 3	MKR S03 Taste Food 19	My Kitchen Rules Background (Series 3)	Jay stewart 		N/A	Light marimba pulses with smooth percussion		Time tension Neutral	
SERIES 3	MKR S03 Tension 41	My Kitchen Rules Background (Series 3)	Jay stewart 		N/A	Repeated GTR motive with building chords. Hi Piano melody		Tension in Judging	
SERIES 3	MKR S03 Tension 42	My Kitchen Rules Background (Series 3)	Brydon Stace		N/A	Light tension with Marimba punctuations and string swells		Judging and time passing	
SERIES 3	MKR S03 Tension 43	My Kitchen Rules Background (Series 3)	Brydon Stace		N/A	Low string and piano punctuations with fast Hi percussion		Time passing tension	
SERIES 3	MKR S03 Tension 44	My Kitchen Rules Background (Series 3)	Brydon Stace		N/A	Low Piano hits with marimba punctuations and swelling pads		Time passing tension	
SERIES 3	MKR S03 Tension 45	My Kitchen Rules Background (Series 3)	Brydon Stace		N/A	Light pulses and smooth pads		time passing neutral	
SERIES 3	MKR S03 Tension 46	My Kitchen Rules Background (Series 3)	Brydon Stace		N/A	Pulsing synth Bass with Hi Percussion and piano motiff		Time passing tension	
SERIES 3	MKR S03 Tension 47	My Kitchen Rules Background (Series 3)	Jay stewart 		N/A	Heartbeat Bass pulse with synth repeated tension motif. Builds toward end		Time tension	
SERIES 3	MKR S03 Tension 48	My Kitchen Rules Background (Series 3)	Jay stewart 		N/A	Building orchestral tension		Building tensions	
SERIES 3	MKR S03 Tension 49	My Kitchen Rules Background (Series 3)	Jay stewart 		N/A				
SERIES 3	MKR S03 tension 50	My Kitchen Rules Background (Series 3)	Jay stewart 		N/A	pulsing electric piano with floating melody - busy drums and bass		medium tension with build at end	
SERIES 3	MKR S03 tension 51	My Kitchen Rules Background (Series 3)	Jay stewart 		N/A	piano repeated riff and low string accents with building perc		building tension	
SERIES 3	MKR S03 tension 52	My Kitchen Rules Background (Series 3)	Jay stewart 		N/A	pulsing bass pattern with building string pads		building tension	
SERIES 3	MKR S03 tension 53	My Kitchen Rules Background (Series 3)	Jay stewart 		N/A	low heartbeat bass with string swells and piano atmos		light tension	
SERIES 3	MKR S03 tension 54	My Kitchen Rules Background (Series 3)	Jay stewart 		N/A	low drones with percussion and string tensions		medium tension	
SERIES 3	MKR S03 tension 55	My Kitchen Rules Background (Series 3)	Jay stewart 		N/A	bass pulse and electric piano atmos		medium tension	
SERIES 3	MKR S03 Tension Glue 10	My Kitchen Rules Background (Series 3)	Jay stewart 		N/A	Repeated GTR motive with percussive accents…Rise in middle		Neutral tension in action	
SERIES 3	MKR S03 Tension Glue 11	My Kitchen Rules Background (Series 3)	Jay stewart 		N/A	Lo sustain piano bass with floating pads. Evolving tension		Time tension	
SERIES 3	MKR S03 tension glue 13	My Kitchen Rules Background (Series 3)	Jay stewart 		N/A	electric piano repeated motif with medium drum pulse		light tension - time passing	
SERIES 3	MKR S03 tension glue 14	My Kitchen Rules Background (Series 3)	Jay stewart 		N/A	low building string drones with busy arpegiated motif		medium tension - time passing	
SERIES 3	MKR S03 tension glue 15	My Kitchen Rules Background (Series 3)	Jay stewart 		N/A	airy pads and slow pulsing beat		medium tension	
SERIES 3	MKR S03 tension glue 16	My Kitchen Rules Background (Series 3)	Jay stewart 		N/A	piano motifs with warm pads and slow drum pulse		medium tension	
SERIES 3	MKR S03 tension glue 17	My Kitchen Rules Background (Series 3)	Jay stewart 		N/A	piano and marimba pulses with warm string pads		medium tension - thoughtful	
SERIES 3	MKR S03 Tension to relief 1	My Kitchen Rules Background (Series 3)	Brydon Stace		N/A	Building orchestra tension into a piano relief		judge deliver verdict - outcome good	
SERIES 3	MKR S03 Tension to relief 2	My Kitchen Rules Background (Series 3)	Brydon Stace		N/A	Lo drone and GTR tensions gives way to piano relief		judge deliver verdict - outcome good	
SERIES 3	MKR S03 The Perfect Score Uplift	My Kitchen Rules Background (Series 3)	Jay stewart 		N/A	Positive orchestral track that builds throughout / up beat rhythm and positive gtrs		Judges award the perfect score / up beat joyous	
SERIES 3	MKR S03 Warm refection	My Kitchen Rules Background (Series 3)	Jay stewart 		N/A	Strings and piano. Warm and positive		Positive relief - a good result	
									
SERIES 4	MKR S04 1 minute to go 4	My Kitchen Rules Background (Series 4)	Jay Stewart 		RED MUSIC PUBLISHING	fast strings with modern drum beat, building through out		race to finish	
SERIES 4	MKR S04 1 minute to go 5	My Kitchen Rules Background (Series 4)	Jay Stewart 		RED MUSIC PUBLISHING	fast strings with short mood tension builds		race to finish with short tense interludes	
SERIES 4	MKR S04 1 minute to go 6	My Kitchen Rules Background (Series 4)	Jay Stewart 		RED MUSIC PUBLISHING				
SERIES 4	MKR S04 Active 37	My Kitchen Rules Background (Series 4)	Brydon Stace		RED MUSIC PUBLISHING	Medium groove with electro pulses builds with string accents at end		medium activity	
SERIES 4	MKR S04 Active 38	My Kitchen Rules Background (Series 4)	Brydon Stace		RED MUSIC PUBLISHING	Medium Up groove. Funky groove with muted GTR and key pulses		medium activity	
SERIES 4	MKR S04 Active 39	My Kitchen Rules Background (Series 4)	Brydon Stace		RED MUSIC PUBLISHING	Fast beat with synth pulses.  Builds at end		busy activity	
SERIES 4	MKR S04 Active 40	My Kitchen Rules Background (Series 4)	Brydon Stace		RED MUSIC PUBLISHING	Fast beat with "Black & White" Michael jackson GTR riff		busy activity	
SERIES 4	MKR S04 Active 41	My Kitchen Rules Background (Series 4)	Brydon Stace		RED MUSIC PUBLISHING	Fast Beat with GTR riffs		busy activity	
SERIES 4	MKR S04 Active 42	My Kitchen Rules Background (Series 4)	Jay Stewart 		RED MUSIC PUBLISHING	Cruisy Beat with Electric piano riff and Pizz marimba highlights		midly quirky/fun action	
SERIES 4	MKR S04 Active 43	My Kitchen Rules Background (Series 4)	Jay Stewart 		RED MUSIC PUBLISHING	Fast Jazzy groove with jungle drums. Quirky piano melody		fast quirky/funny action	
SERIES 4	MKR S04 Active 44	My Kitchen Rules Background (Series 4)	Jay Stewart 		RED MUSIC PUBLISHING	Medium Funk rock GTR with building chords		medium action/opening scenes	
SERIES 4	MKR S04 Active 45	My Kitchen Rules Background (Series 4)	Jay Stewart 		RED MUSIC PUBLISHING	Fast funk rock GTR. With prince style breakdown		fast/medium action	
SERIES 4	MKR S04 Active 46	My Kitchen Rules Background (Series 4)	Jay Stewart 		RED MUSIC PUBLISHING	fast rock with strong GTR riffs		fast action	
SERIES 4	MKR S04 Active 47	My Kitchen Rules Background (Series 4)	Jay Stewart 		RED MUSIC PUBLISHING	funky GTR groove with breakdowns		medium action	
SERIES 4	MKR S04 Active 48	My Kitchen Rules Background (Series 4)	Jay Stewart 		RED MUSIC PUBLISHING	Medium solid rock groove		moderate action sequences	
SERIES 4	MKR S04 Active 49	My Kitchen Rules Background (Series 4)	Jay Stewart 		RED MUSIC PUBLISHING	Up beat string riffs, fast percussion		medium indoor action	
SERIES 4	MKR S04 Active 50	My Kitchen Rules Background (Series 4)	Jay Stewart 		RED MUSIC PUBLISHING	solid power rock GTR & Bass riff		medium action - outdoor/ useful drum only stem	
SERIES 4	MKR S04 Active 51	My Kitchen Rules Background (Series 4)	Jay Stewart 		RED MUSIC PUBLISHING	modern power funk with scratches and horn stabs		medium action/ indoor or outdoor	
SERIES 4	MKR S04 Active 52	My Kitchen Rules Background (Series 4)	Jay Stewart 		RED MUSIC PUBLISHING	simering funk beat		medium action/ slightly subdued	
SERIES 4	MKR S04 Active 53	My Kitchen Rules Background (Series 4)	Brydon Stace		RED MUSIC PUBLISHING	drums and bass groove with synth pulses		medium action/indoor or outdoor	
SERIES 4	MKR S04 Active 54	My Kitchen Rules Background (Series 4)	Brydon Stace		RED MUSIC PUBLISHING	medium electro funk groove		medium action/ indoor or outdoor	
SERIES 4	MKR S04 Amazing race 3	My Kitchen Rules Background (Series 4)	Jay Stewart 		RED MUSIC PUBLISHING	strong string riffs and accents….building throughout		strong action	
SERIES 4	MKR S04 Amazing race 4	My Kitchen Rules Background (Series 4)	Jay Stewart 		RED MUSIC PUBLISHING	strong pulses string orchestra….building throughout		strong action	
SERIES 4	MKR S04 Amazing race 5	My Kitchen Rules Background (Series 4)	Brydon Stace		RED MUSIC PUBLISHING	strong Brass accents with string riffs……building throughout		strong action	
SERIES 4	MKR S04 Anticipate Tension 4	My Kitchen Rules Background (Series 4)	Jay Stewart 		RED MUSIC PUBLISHING	Drone with light tense piano motive. Builds in middle toward end		Light tension.	
SERIES 4	MKR S04 Anticipate Tension 5	My Kitchen Rules Background (Series 4)	Jay Stewart 		RED MUSIC PUBLISHING	Busy bass pulse. With active keys stabs. String builds at end		Light tension - busy to climax	
SERIES 4	MKR S04 Anticipate Tension 6	My Kitchen Rules Background (Series 4)	Jay Stewart 		RED MUSIC PUBLISHING	Tense low string, accent percusion with building harp motive. String punches		Medium tension building	
SERIES 4	MKR S04 Anticipate Tension 7	My Kitchen Rules Background (Series 4)	Jay Stewart 		RED MUSIC PUBLISHING	Building keys with string pulses. Fast HH beat		Light tension - fast pace	
SERIES 4	MKR S04 Anticipate tension 8	My Kitchen Rules Background (Series 4)	Jay Stewart 		RED MUSIC PUBLISHING	light pulses with busy piano  short build at end		somethings about to happen moments	
SERIES 4	MKR S04 Big Drama Build 11	My Kitchen Rules Background (Series 4)	Brydon Stace		RED MUSIC PUBLISHING	pulsing Low strings - soft middle section leading into big finish		Fast Hollywood drama	
SERIES 4	MKR S04 Big Drama build 12	My Kitchen Rules Background (Series 4)	Jay Stewart 		RED MUSIC PUBLISHING	fast string melody with orchestral percussion. Tense middle to big finish		Fast hollywood drama	
SERIES 4	MKR S04 Big Drama Build 13	My Kitchen Rules Background (Series 4)	Jay Stewart 		RED MUSIC PUBLISHING	low brass accents, fast string builds. Tense middle to big finish		Fast Hollywood drama	
SERIES 4	MKR S04 Big Drama Build 14	My Kitchen Rules Background (Series 4)	Jay Stewart 		RED MUSIC PUBLISHING	fast string pulses with conterpoint bass….building throughout		Teases and play offs	
SERIES 4	MKR S04 Big drama build 15	My Kitchen Rules Background (Series 4)	Jay Stewart 		RED MUSIC PUBLISHING	strong GTR pulse with orchestral punches and modern drum kit		Action/ drama/tease	
SERIES 4	MKR S04 Big drama build 16	My Kitchen Rules Background (Series 4)	Jay Stewart 		RED MUSIC PUBLISHING	low string accent, triangle percussion, building orchestra		drama's/Tease	
SERIES 4	MKR S04 Big drama build 17	My Kitchen Rules Background (Series 4)	Jay Stewart 		RED MUSIC PUBLISHING	low string accent, building with big low brass to climax		dramas/tease	
SERIES 4	MKR S04 Big Drama Build 18	My Kitchen Rules Background (Series 4)	Jay Stewart 		RED MUSIC PUBLISHING	low building strings, leading into a strong military style orchestral climax		dramas/tease	
SERIES 4	MKR S04 Big drama build 19	My Kitchen Rules Background (Series 4)	Jay Stewart 		RED MUSIC PUBLISHING	piano meldoy and lo string riffs, big drum hits/ 		medium drama	
SERIES 4	MKR S04 Big Drama Build 20	My Kitchen Rules Background (Series 4)	Jay Stewart 		RED MUSIC PUBLISHING	strong string orchestra and bells, soft interlude in middle to extra big finish		Teases and play offs	
SERIES 4	MKR S04 Big Drama Build 21	My Kitchen Rules Background (Series 4)	Brydon Stace		RED MUSIC PUBLISHING	strong orchestral start with a settled bass & drum groove in middle building to end		Teases and play offs & Countdowns	
SERIES 4	MKR S04 Bollywood	My Kitchen Rules Background (Series 4)	Jay Stewart 		RED MUSIC PUBLISHING	Modern Bollywwod track in style of Slum Dog Millionaire		Bollywwod flavours	
SERIES 4	MKR S04 Build to Celebrate 12	My Kitchen Rules Background (Series 4)	Jay Stewart 		RED MUSIC PUBLISHING	Uplifting modern GTR track		Contestant success	
SERIES 4	MKR S04 Build To Celebrate 13	My Kitchen Rules Background (Series 4)	Jay Stewart 		RED MUSIC PUBLISHING	Piano and GTR suspense start leading into full Modern GTR track		Contestant succeeds	
